Key,EN,CN,FR,EN 적용체크,CN 적용체크,FR 적용체크
설비 설치 방법 확인하기,Learn How to Install Facilities,了解设施安装方法,Apprendre à poser les installations,,,
퀵슬롯 사용 방법 확인하기,Learn How to Use Quick Slots,了解快捷栏使用方法,Apprendre à utiliser l'emplacement rapide,,,
결계 밖 <color=#FFCC00>사냥터</color>로 <color=#FFCC00>이동</color>하세요.,Move to the <color=#FFCC00>hunting grounds</color> outside the barrier.,前往结界外的<color=#FFCC00>狩猎场</color>。,Rendez-vous au <color=#FFCC00>terrain de chasse</color> hors de la barrière.,,,
<color=#FFCC00>위협 개체</color>를 <color=#FFCC00>처치</color>하세요.,<color=#FFCC00>Eliminate</color> the <color=#FFCC00>hostile creature</color>.,<color=#FFCC00>消灭威胁生物</color>。,<color=#FFCC00>Éliminez</color> la <color=#FFCC00>créature hostile</color>.,,,
결계 안 <color=#FFCC00>건설 구역</color>으로 <color=#FFCC00>이동</color>하세요.,Move to the <color=#FFCC00>construction zone</color> inside the barrier.,前往结界内的<color=#FFCC00>建造区</color>。,Rejoignez la <color=#FFCC00>zone de construction</color> dans la barrière.,,,
자연권역의 강한 <color=#FFCC00>생체 반응</color> 개체를 <color=#FFCC00>처치</color>하세요.,Eliminate the creature with a strong <color=#FFCC00>bio-signal</color> in the Nature region.,消灭自然区域中<color=#FFCC00>生物反应</color>强烈的个体。,Éliminez la créature à forte <color=#FFCC00>réaction biologique</color> de la région Nature.,,,
모은 <color=#FFCC00>복구 에너지</color>로 우주선을 <color=#FFCC00>Lv.5</color>까지 복구하세요.,Use your <color=#FFCC00>Repair Energy</color> to restore the ship to <color=#FFCC00>Lv.5</color>.,使用收集的<color=#FFCC00>修复能量</color>将飞船修复至<color=#FFCC00>Lv.5</color>。,Restaurez le vaisseau au <color=#FFCC00>niv. 5</color> avec l'<color=#FFCC00>énergie de réparation</color>.,,,
전투 자원 회수 방법을 확인하세요.,Check how to recover combat resources.,确认战斗资源的回收方法。,Découvrez comment récupérer les ressources de combat.,,,
설비 설치 방법을 확인하세요.,Check how to install facilities.,确认设施安装方法。,Découvrez comment poser les installations.,,,
설비 가공 방법을 확인하세요.,Check how facility processing works.,确认设施加工方法。,Découvrez le fonctionnement de la transformation.,,,
퀵슬롯 사용 방법을 확인하세요.,Check how to use quick slots.,确认快捷栏使用方法。,Découvrez l'utilisation de l'emplacement rapide.,,,
새로 열린 설비를 확인하세요.,Check the newly unlocked facility.,确认新解锁的设施。,Découvrez l'installation nouvellement débloquée.,,,
적이나 오브젝트에서 나온 <color=#FFCC00>아이템</color>은 가까이 가면 <color=#FFCC00>획득</color>됩니다.,<color=#FFCC00>Items</color> dropped by enemies or objects are <color=#FFCC00>picked up</color> automatically when you approach.,敌人或物体掉落的<color=#FFCC00>物品</color>靠近即可<color=#FFCC00>获取</color>。,Les <color=#FFCC00>objets</color> lâchés par les ennemis ou les structures se <color=#FFCC00>ramassent</color> en vous approchant.,,,
결계 안에서는 <color=#FFCC00>시간 감소가 멈춥니다</color>. 결계 밖에서는 <color=#FFCC00>시간이 줄어듭니다</color>.,"Inside the barrier, <color=#FFCC00>time stops draining</color>. Outside, <color=#FFCC00>your time decreases</color>.",结界内<color=#FFCC00>时间停止减少</color>，结界外<color=#FFCC00>时间持续减少</color>。,"Dans la barrière, <color=#FFCC00>le temps ne s'écoule plus</color>. À l'extérieur, <color=#FFCC00>votre temps diminue</color>.",,,
"자주 쓰는 아이템은 <color=#FFCC00>퀵슬롯</color>에 등록해 빠르게 사용할 수 있습니다. 인벤토리에서 <color=#FFCC00>우클릭 -> 퀵슬롯 등록</color>, 사용은 <color=#FFCC00>V</color>입니다. (<color=#FFCC00>가방에 있을 때만</color> 사용됩니다)","Register frequently used items to the <color=#FFCC00>quick slot</color> for fast use. In the inventory: <color=#FFCC00>right-click -> Register to Quick Slot</color>, then press <color=#FFCC00>V</color> to use. (Works <color=#FFCC00>only from your bag</color>)",常用物品可注册到<color=#FFCC00>快捷栏</color>快速使用。在背包中<color=#FFCC00>右键 -> 注册快捷栏</color>，按<color=#FFCC00>V</color>使用。（<color=#FFCC00>仅限背包中的物品</color>）,"Assignez vos objets fréquents à l'<color=#FFCC00>emplacement rapide</color>. Dans l'inventaire : <color=#FFCC00>clic droit -> Assigner</color>, puis utilisez avec <color=#FFCC00>V</color>. (<color=#FFCC00>Depuis le sac uniquement</color>)",,,
<color=#FFCC00>충전 키트</color>를 전송하면 <color=#FFCC00>전송률</color>이 오릅니다. 전송률이 오르면 <color=#FFCC00>보급 신호</color>와 다음 목표가 열립니다.,"Transmit a <color=#FFCC00>charge kit</color> to raise the <color=#FFCC00>transmission rate</color>. As it rises, <color=#FFCC00>supply signals</color> and new objectives open up.",传送<color=#FFCC00>充电套件</color>可提升<color=#FFCC00>传送率</color>。传送率提升后将开启<color=#FFCC00>补给信号</color>与新目标。,Transmettez un <color=#FFCC00>kit de recharge</color> pour augmenter le <color=#FFCC00>taux de transmission</color>. Cela débloque <color=#FFCC00>signaux de ravitaillement</color> et nouveaux objectifs.,,,
"<color=#FFCC00>귀환석</color>을 사용하면 기지로 빠르게 복귀할 수 있습니다. <color=#FFCC00>H</color>로 사용하며, 레벨이 오를수록 <color=#FFCC00>쿨타임</color>이 짧아집니다.",Use the <color=#FFCC00>Return Stone</color> to quickly return to base. Press <color=#FFCC00>H</color> to use; higher levels shorten its <color=#FFCC00>cooldown</color>.,使用<color=#FFCC00>回归石</color>可快速返回基地。按<color=#FFCC00>H</color>使用，等级越高<color=#FFCC00>冷却时间</color>越短。,La <color=#FFCC00>pierre de retour</color> vous ramène rapidement à la base. Utilisez-la avec <color=#FFCC00>H</color> ; son <color=#FFCC00>temps de recharge</color> diminue avec le niveau.,,,
발견한 <color=#FFCC00>워프 지점</color>은 <color=#FFCC00>F로 활성화</color>한 뒤 이후 이동에 사용할 수 있습니다. 기지와 지역을 빠르게 오가는 지름길입니다.,Discovered <color=#FFCC00>warp points</color> can be <color=#FFCC00>activated with F</color> and used for travel afterward. A shortcut between the base and each region.,发现的<color=#FFCC00>传送点</color>按<color=#FFCC00>F激活</color>后即可用于之后的移动，是基地与各区域间的捷径。,Les <color=#FFCC00>points de téléportation</color> découverts s'<color=#FFCC00>activent avec F</color> et servent ensuite à voyager. Un raccourci entre la base et les régions.,,,
우주선 <color=#FFCC00>복구</color>에 사용되는 특수 에너지입니다. 충분히 모으면 기지의 <color=#FFCC00>복구 장치</color>에서 우주선 복구를 진행할 수 있습니다.,A special energy used for <color=#FFCC00>ship restoration</color>. Collect enough and you can restore the ship at the base's <color=#FFCC00>restoration console</color>.,用于<color=#FFCC00>修复</color>飞船的特殊能量。收集足够后即可在基地的<color=#FFCC00>修复装置</color>进行飞船修复。,Énergie spéciale servant à la <color=#FFCC00>restauration</color> du vaisseau. Rassemblez-en assez pour lancer la restauration au <color=#FFCC00>dispositif de restauration</color> de la base.,,,
코어 강화란,What Is Core Upgrading,什么是核心强化,L'amélioration du noyau,,,
코어 강화 방법,How to Upgrade the Core,核心强化方法,Comment améliorer le noyau,,,
아이템 줍기,Picking Up Items,拾取物品,Ramasser les objets,,,
결계 안과 밖,Inside and Outside the Barrier,结界内外,Dans et hors de la barrière,,,
상자파밍,Chest Farming,开启宝箱,Fouille de coffres,,,
즉시완료,Instant Completion,立即完成,Achèvement instantané,,,
설비해금,Facility Unlock,设施解锁,Déblocage d'installation,,,
즉시해금,Instant Unlock,立即解锁,Déblocage instantané,,,
설비 열기,Opening a Facility,打开设施,Ouvrir une installation,,,
재료 투입과 가공,Adding Materials and Processing,投入材料与加工,Matériaux et transformation,,,
생산품 수령,Collecting Products,领取产物,Récupérer la production,,,
레시피 변경,Changing Recipes,更换配方,Changer de recette,,,
레일 자동화란,What Is Rail Automation,什么是轨道自动化,L'automatisation par rail,,,
레일 까는 법,How to Place Rails,铺设轨道方法,Comment poser des rails,,,
설비 설치,Installing Facilities,安装设施,Poser une installation,,,
설비 해제,Removing Facilities,拆除设施,Retirer une installation,,,
시간에너지 합성기 소개,Time Energy Synthesizer,时间能量合成器介绍,Le synthétiseur d'énergie temporelle,,,
용해로 소개,Smelter,熔炉介绍,Le fourneau,,,
창고 출력 포트 소개,Storage Output Port,仓库输出端口介绍,Le port de sortie d'entrepôt,,,
저장고 소개,Depot,储藏库介绍,La réserve,,,
코어 합성기 소개,Core Synthesizer,核心合成器介绍,Le synthétiseur de noyau,,,
생체 분리기 소개,Bio Separator,生物分离器介绍,Le séparateur biologique,,,
에너지 변환기 소개,Energy Converter,能量转换器介绍,Le convertisseur d'énergie,,,
원재료 무한 복제,Infinite Raw Material Loop,原材料无限复制,Boucle infinie de matières premières,,,
귀환석,Return Stone,回归石,Pierre de retour,,,
워프 지점,Warp Point,传送点,Point de téléportation,,,
우주선 수리 소개,Ship Restoration,飞船修复介绍,La restauration du vaisseau,,,
엔드게임,Endgame,终局,Phase finale,,,
<color=#FFCC00>생체 분리기</color>와 <color=#FFCC00>에너지 변환기</color>의 출력을 <color=#FFCC00>레일</color>로 서로 물려 순환시키면 원재료가 계속 불어납니다. 이 <color=#FFCC00>순환 라인</color>으로 재료를 무한히 확보하세요.,Feed the outputs of the <color=#FFCC00>Bio Separator</color> and <color=#FFCC00>Energy Converter</color> into each other with <color=#FFCC00>rails</color> and raw materials keep multiplying. Secure endless materials with this <color=#FFCC00>loop line</color>.,用<color=#FFCC00>轨道</color>将<color=#FFCC00>生物分离器</color>与<color=#FFCC00>能量转换器</color>的产出相互连接循环，原材料会不断增殖。利用这条<color=#FFCC00>循环线</color>无限确保材料。,Reliez les sorties du <color=#FFCC00>séparateur biologique</color> et du <color=#FFCC00>convertisseur d'énergie</color> par des <color=#FFCC00>rails</color> pour former une boucle : les matières premières se multiplient. Cette <color=#FFCC00>ligne en boucle</color> fournit des matériaux à l'infini.,,,
<color=#FFCC00>창고</color>의 아이템을 <color=#FFCC00>레일</color>로 꺼내 다른 설비에 자동 공급하는 설비입니다.,A facility that pulls items from <color=#FFCC00>Storage</color> and feeds them to other facilities automatically via <color=#FFCC00>rails</color>.,通过<color=#FFCC00>轨道</color>从<color=#FFCC00>仓库</color>取出物品并自动供给其他设施的设施。,Une installation qui sort les objets de l'<color=#FFCC00>entrepôt</color> et les fournit automatiquement aux autres installations par <color=#FFCC00>rail</color>.,,,
<color=#FFCC00>코어 강화</color>에 쓰는 <color=#FFCC00>코어 키트</color>를 만드는 설비입니다.,A facility that crafts the <color=#FFCC00>Core Kits</color> used for <color=#FFCC00>Core Upgrades</color>.,制作<color=#FFCC00>核心强化</color>所需<color=#FFCC00>核心套件</color>的设施。,Une installation qui fabrique les <color=#FFCC00>kits de noyau</color> utilisés pour l'<color=#FFCC00>amélioration du noyau</color>.,,,
레일로 들어온 아이템을 <color=#FFCC00>창고에 자동 보관</color>하는 설비입니다. <color=#FFCC00>창고 출력 포트</color>(창고에서 꺼내기)의 반대입니다.,A facility that automatically puts items arriving by rail <color=#FFCC00>into Storage</color>. The opposite of the <color=#FFCC00>Storage Output Port</color> (which takes items out).,将轨道送来的物品<color=#FFCC00>自动存入仓库</color>的设施。与<color=#FFCC00>仓库输出端口</color>（从仓库取出）相反。,Une installation qui range automatiquement <color=#FFCC00>dans l'entrepôt</color> les objets arrivés par rail. L'inverse du <color=#FFCC00>port de sortie d'entrepôt</color>.,,,
생체 재료를 분리해 <color=#FFCC00>상위 원료</color>를 얻는 설비입니다. <color=#FFCC00>에너지 변환기</color>와 함께 씁니다.,A facility that separates biological materials into <color=#FFCC00>higher-tier resources</color>. Used together with the <color=#FFCC00>Energy Converter</color>.,将生物材料分离为<color=#FFCC00>高级原料</color>的设施。与<color=#FFCC00>能量转换器</color>配合使用。,Une installation qui sépare les matières biologiques en <color=#FFCC00>ressources supérieures</color>. S'utilise avec le <color=#FFCC00>convertisseur d'énergie</color>.,,,
시간에너지 <color=#FFCC00>충전 키트</color>를 만드는 설비입니다. 여기서 만든 키트를 <color=#FFCC00>전송기</color>에 넣어 전송률을 올립니다.,A facility that crafts time energy <color=#FFCC00>charge kits</color>. Put the kits into the <color=#FFCC00>transmitter</color> to raise the transmission rate.,制作时间能量<color=#FFCC00>充电套件</color>的设施。将做好的套件放入<color=#FFCC00>传送器</color>以提升传送率。,Une installation qui fabrique les <color=#FFCC00>kits de recharge</color> d'énergie temporelle. Placez-les dans le <color=#FFCC00>transmetteur</color> pour augmenter le taux de transmission.,,,
원료를 <color=#FFCC00>에너지 형태</color>로 변환하는 설비입니다. <color=#FFCC00>생체 분리기</color>의 산출물을 받아 가공합니다.,A facility that converts resources into <color=#FFCC00>energy form</color>. It processes the output of the <color=#FFCC00>Bio Separator</color>.,将原料转换为<color=#FFCC00>能量形态</color>的设施。接收<color=#FFCC00>生物分离器</color>的产出进行加工。,Une installation qui convertit les ressources en <color=#FFCC00>énergie</color>. Elle traite la production du <color=#FFCC00>séparateur biologique</color>.,,,
재료를 녹여 <color=#FFCC00>주괴</color> 등 기초 소재를 만드는 설비입니다.,A facility that melts materials into basic resources such as <color=#FFCC00>ingots</color>.,熔化材料制成<color=#FFCC00>锭</color>等基础素材的设施。,Une installation qui fond les matériaux pour produire des ressources de base comme les <color=#FFCC00>lingots</color>.,,,
<color=#FFCC00>좌클릭</color>으로 <color=#FFCC00>공격</color>하세요.,<color=#FFCC00>Left-click</color> to <color=#FFCC00>attack</color>.,用<color=#FFCC00>左键</color>进行<color=#FFCC00>攻击</color>。,<color=#FFCC00>Clic gauche</color> pour <color=#FFCC00>attaquer</color>.,,,
<color=#FFCC00>B</color>로 <color=#FFCC00>건설 모드</color>에 진입하세요.,Press <color=#FFCC00>B</color> to enter <color=#FFCC00>Build Mode</color>.,按<color=#FFCC00>B</color>进入<color=#FFCC00>建造模式</color>。,Appuyez sur <color=#FFCC00>B</color> pour entrer en <color=#FFCC00>mode construction</color>.,,,
<color=#FFCC00>X</color>로 <color=#FFCC00>해제 모드</color>에 들어가 설비를 <color=#FFCC00>클릭</color>하면 철거됩니다. <color=#FFCC00>Shift</color>를 누른 채 <color=#FFCC00>드래그</color>하면 <color=#FFCC00>여러 개를 한 번에</color> 해제할 수 있어요.,"Press <color=#FFCC00>X</color> to enter <color=#FFCC00>Dismantle Mode</color>, then <color=#FFCC00>click</color> a facility to remove it. Hold <color=#FFCC00>Shift</color> and <color=#FFCC00>drag</color> to dismantle <color=#FFCC00>several at once</color>.",按<color=#FFCC00>X</color>进入<color=#FFCC00>拆除模式</color>，<color=#FFCC00>点击</color>设施即可拆除。按住<color=#FFCC00>Shift</color>并<color=#FFCC00>拖动</color>可<color=#FFCC00>一次拆除多个</color>。,"Appuyez sur <color=#FFCC00>X</color> pour le <color=#FFCC00>mode démantèlement</color>, puis <color=#FFCC00>cliquez</color> sur une installation pour la retirer. Maintenez <color=#FFCC00>Maj</color> et <color=#FFCC00>glissez</color> pour en retirer <color=#FFCC00>plusieurs à la fois</color>.",,,
"<color=#FFCC00>건설 모드(B)</color>에서 <color=#FFCC00>퀵슬롯</color>의 설비를 고른 뒤 <color=#FFCC00>건설 구역</color> 바닥을 클릭해 설치합니다. 놓을 수 있으면 <color=#FFCC00>초록</color>, 안 되면 <color=#FFCC00>빨강</color>으로 표시돼요. (<color=#FFCC00>R</color>로 회전)","In <color=#FFCC00>Build Mode (B)</color>, pick a facility from the <color=#FFCC00>quick slots</color> and click the ground in the <color=#FFCC00>construction zone</color> to place it. <color=#FFCC00>Green</color> means it fits, <color=#FFCC00>red</color> means it does not. (<color=#FFCC00>R</color> to rotate)",在<color=#FFCC00>建造模式(B)</color>中从<color=#FFCC00>快捷栏</color>选择设施，点击<color=#FFCC00>建造区</color>地面进行安装。可放置显示<color=#FFCC00>绿色</color>，不可放置显示<color=#FFCC00>红色</color>。（<color=#FFCC00>R</color>旋转）,"En <color=#FFCC00>mode construction (B)</color>, choisissez une installation dans la <color=#FFCC00>barre rapide</color> puis cliquez sur le sol de la <color=#FFCC00>zone de construction</color>. <color=#FFCC00>Vert</color> = possible, <color=#FFCC00>rouge</color> = impossible. (<color=#FFCC00>R</color> pour pivoter)",,,
<color=#FFCC00>초급 회복 앰플</color>을 <color=#FFCC00>회수</color>하세요.,<color=#FFCC00>Collect</color> the <color=#FFCC00>Minor Healing Ampoule</color>.,<color=#FFCC00>回收</color><color=#FFCC00>初级恢复安瓿</color>。,<color=#FFCC00>Récupérez</color> l'<color=#FFCC00>ampoule de soin mineure</color>.,,,
<color=#FFCC00>출력 슬롯</color>에서 <color=#FFCC00>앰플 젤</color>을 <color=#FFCC00>모두 받기</color>로 <color=#FFCC00>회수</color>하세요.,Use <color=#FFCC00>Collect All</color> in the <color=#FFCC00>output slot</color> to <color=#FFCC00>collect</color> the <color=#FFCC00>Ampoule Gel</color>.,在<color=#FFCC00>输出槽</color>用<color=#FFCC00>全部领取</color><color=#FFCC00>回收</color><color=#FFCC00>安瓿凝胶</color>。,"Dans l'<color=#FFCC00>emplacement de sortie</color>, utilisez <color=#FFCC00>Tout récupérer</color> pour <color=#FFCC00>récupérer</color> le <color=#FFCC00>gel d'ampoule</color>.",,,
<color=#FFCC00>강화 시작</color>을 누르고 <color=#FFCC00>정지! 버튼</color>으로 멈춰 코어를 강화해 보세요.,"Press <color=#FFCC00>Start Upgrade</color>, then stop the needle with the <color=#FFCC00>Stop! button</color> to upgrade the core.",按下<color=#FFCC00>开始强化</color>，再用<color=#FFCC00>停止！按钮</color>停住指针来强化核心。,"Appuyez sur <color=#FFCC00>Lancer l'amélioration</color>, puis arrêtez l'aiguille avec le <color=#FFCC00>bouton Stop !</color> pour améliorer le noyau.",,,
"<color=#FFCC00>F</color>로 여는 <color=#FFCC00>코어 강화 단말</color>입니다. <color=#FFCC00>코어 강화</color>로 <color=#FFCC00>최대 시간(체력)</color>을 늘리며, 단계가 오를수록 더 많은 <color=#FFCC00>코어 키트</color>가 필요합니다(<color=#FFCC00>코어 합성기</color>에서 제작). 강화는 <color=#FFCC00>성공·실패와 무관하게 키트를 소모</color>하니 <color=#FFCC00>성공 확률</color>을 꼭 확인하세요.","This is the <color=#FFCC00>Core Upgrade Terminal</color>, opened with <color=#FFCC00>F</color>. <color=#FFCC00>Core Upgrades</color> increase your <color=#FFCC00>max time (HP)</color>; higher stages need more <color=#FFCC00>Core Kits</color> (crafted at the <color=#FFCC00>Core Synthesizer</color>). Kits are <color=#FFCC00>consumed whether you succeed or fail</color>, so always check the <color=#FFCC00>success rate</color>.",这是用<color=#FFCC00>F</color>打开的<color=#FFCC00>核心强化终端</color>。<color=#FFCC00>核心强化</color>可提升<color=#FFCC00>最大时间（体力）</color>，阶段越高需要越多<color=#FFCC00>核心套件</color>（在<color=#FFCC00>核心合成器</color>制作）。强化<color=#FFCC00>无论成败都会消耗套件</color>，请务必确认<color=#FFCC00>成功概率</color>。,"Voici le <color=#FFCC00>terminal d'amélioration du noyau</color>, ouvert avec <color=#FFCC00>F</color>. L'<color=#FFCC00>amélioration du noyau</color> augmente votre <color=#FFCC00>temps maximal (PV)</color> ; les paliers élevés demandent plus de <color=#FFCC00>kits de noyau</color> (fabriqués au <color=#FFCC00>synthétiseur de noyau</color>). Les kits sont <color=#FFCC00>consommés même en cas d'échec</color> : vérifiez toujours le <color=#FFCC00>taux de réussite</color>.",,,
<color=#FFCC00>강화 시작</color>을 누르면 코어가 <color=#FFCC00>시계</color>로 바뀝니다. 바늘이 <color=#FFCC00>초록 성공존</color>에 올 때 <color=#FFCC00>정지! 버튼(또는 Space)</color>으로 멈추면 성공 확률이 오릅니다. <color=#FFCC00>강화 버튼</color>과 <color=#FFCC00>성공 확률 바</color>는 코어 강화 창에 있습니다.,Press <color=#FFCC00>Start Upgrade</color> and the core turns into a <color=#FFCC00>clock</color>. Stop the needle in the <color=#FFCC00>green success zone</color> with the <color=#FFCC00>Stop! button (or Space)</color> to raise the success rate. The <color=#FFCC00>upgrade button</color> and <color=#FFCC00>success rate bar</color> are in the Core Upgrade window.,按下<color=#FFCC00>开始强化</color>后核心会变成<color=#FFCC00>时钟</color>。指针进入<color=#FFCC00>绿色成功区</color>时用<color=#FFCC00>停止！按钮（或Space）</color>停住即可提高成功率。<color=#FFCC00>强化按钮</color>和<color=#FFCC00>成功率条</color>位于核心强化窗口。,Appuyez sur <color=#FFCC00>Lancer l'amélioration</color> : le noyau devient une <color=#FFCC00>horloge</color>. Arrêtez l'aiguille dans la <color=#FFCC00>zone verte de réussite</color> avec le <color=#FFCC00>bouton Stop ! (ou Espace)</color> pour augmenter vos chances. Le <color=#FFCC00>bouton d'amélioration</color> et la <color=#FFCC00>barre de réussite</color> sont dans la fenêtre d'amélioration.,,,
코어 강화 안내를 확인하세요.,Check the Core Upgrade guide.,确认核心强化指南。,Consultez le guide d'amélioration du noyau.,,,
<color=#FFCC00>가공이 완료</color>되면 <color=#FFCC00>모두 받기</color>로 생산품을 가방이나 창고로 <color=#FFCC00>수령</color>할 수 있습니다.,"When <color=#FFCC00>processing is complete</color>, use <color=#FFCC00>Collect All</color> to <color=#FFCC00>receive</color> the products into your bag or Storage.",<color=#FFCC00>加工完成</color>后，用<color=#FFCC00>全部领取</color>将产物<color=#FFCC00>收取</color>到背包或仓库。,"Une fois la <color=#FFCC00>transformation terminée</color>, utilisez <color=#FFCC00>Tout récupérer</color> pour <color=#FFCC00>recevoir</color> la production dans le sac ou l'entrepôt.",,,
"먼저 <color=#FFCC00>연료</color>가 필요합니다. 가방의 <color=#FFCC00>나뭇가지</color>를 <color=#FFCC00>연료 슬롯</color>에 드래그해 넣으세요(나뭇가지는 <color=#FFCC00>오크 트리</color>에서 나옵니다). 이어서 <color=#FFCC00>가방이나 창고</color>의 재료를 <color=#FFCC00>재료 슬롯</color>으로 드래그하면, 맞는 <color=#FFCC00>레시피</color>가 있을 때 <color=#FFCC00>가공</color>이 시작됩니다.","You need <color=#FFCC00>fuel</color> first. Drag a <color=#FFCC00>Twig</color> from your bag into the <color=#FFCC00>fuel slot</color> (Twigs drop from the <color=#FFCC00>Oak Tree</color>). Then drag materials from your <color=#FFCC00>bag or Storage</color> into the <color=#FFCC00>material slots</color> - when a matching <color=#FFCC00>recipe</color> exists, <color=#FFCC00>processing</color> begins.",首先需要<color=#FFCC00>燃料</color>。将背包中的<color=#FFCC00>树枝</color>拖入<color=#FFCC00>燃料槽</color>（树枝来自<color=#FFCC00>橡树怪</color>）。接着把<color=#FFCC00>背包或仓库</color>的材料拖入<color=#FFCC00>材料槽</color>，有匹配的<color=#FFCC00>配方</color>时<color=#FFCC00>加工</color>就会开始。,Il faut d'abord du <color=#FFCC00>carburant</color>. Glissez une <color=#FFCC00>brindille</color> du sac dans l'<color=#FFCC00>emplacement carburant</color> (les brindilles viennent de l'<color=#FFCC00>arbre-orc</color>). Glissez ensuite des matériaux du <color=#FFCC00>sac ou de l'entrepôt</color> dans les <color=#FFCC00>emplacements de matériaux</color> : la <color=#FFCC00>transformation</color> démarre dès qu'une <color=#FFCC00>recette</color> correspond.,,,
설치한 설비에 다가가 <color=#FFCC00>F</color>를 누르면 설비 UI가 열립니다. 이 화면에서 <color=#FFCC00>연료</color>와 <color=#FFCC00>재료</color>를 넣어 원하는 물건을 <color=#FFCC00>가공</color>할 수 있습니다.,Approach an installed facility and press <color=#FFCC00>F</color> to open its UI. Here you add <color=#FFCC00>fuel</color> and <color=#FFCC00>materials</color> to <color=#FFCC00>process</color> what you need.,靠近已安装的设施按<color=#FFCC00>F</color>打开设施UI。在此放入<color=#FFCC00>燃料</color>和<color=#FFCC00>材料</color>即可<color=#FFCC00>加工</color>所需物品。,Approchez-vous d'une installation et appuyez sur <color=#FFCC00>F</color> pour ouvrir son interface. Ajoutez-y du <color=#FFCC00>carburant</color> et des <color=#FFCC00>matériaux</color> pour <color=#FFCC00>transformer</color> ce qu'il vous faut.,,,
"한 설비가 여러 <color=#FFCC00>레시피</color>를 만들 수 있을 때, 만들고 싶은 <color=#FFCC00>레시피</color>를 <color=#FFCC00>클릭</color>해 <color=#FFCC00>바꿀 수 있습니다</color>. (한 번에 하나의 레시피만 가동)","When a facility can craft several <color=#FFCC00>recipes</color>, <color=#FFCC00>click</color> the <color=#FFCC00>recipe</color> you want to <color=#FFCC00>switch to it</color>. (Only one recipe runs at a time)",当一个设施可制作多个<color=#FFCC00>配方</color>时，<color=#FFCC00>点击</color>想要的<color=#FFCC00>配方</color>即可<color=#FFCC00>切换</color>。（一次只能运行一个配方）,"Quand une installation propose plusieurs <color=#FFCC00>recettes</color>, <color=#FFCC00>cliquez</color> sur la <color=#FFCC00>recette</color> voulue pour <color=#FFCC00>en changer</color>. (Une seule recette active à la fois)",,,
<color=#FFCC00>F</color>로 전송기를 열고 <color=#FFCC00>충전 키트</color>를 전송해 전송률 <color=#FFCC00>5%</color>를 달성하세요.,Open the transmitter with <color=#FFCC00>F</color> and transmit a <color=#FFCC00>charge kit</color> to reach <color=#FFCC00>5%</color> transmission.,按<color=#FFCC00>F</color>打开传送器，传送<color=#FFCC00>充电套件</color>使传送率达到<color=#FFCC00>5%</color>。,Ouvrez le transmetteur avec <color=#FFCC00>F</color> et transmettez un <color=#FFCC00>kit de recharge</color> pour atteindre <color=#FFCC00>5 %</color>.,,,
<color=#FFCC00>나뭇가지</color>를 <color=#FFCC00>연료 슬롯</color>으로 <color=#FFCC00>드래그</color>해 투입하세요.,<color=#FFCC00>Drag</color> a <color=#FFCC00>Twig</color> into the <color=#FFCC00>fuel slot</color>.,将<color=#FFCC00>树枝</color><color=#FFCC00>拖入</color><color=#FFCC00>燃料槽</color>。,<color=#FFCC00>Glissez</color> une <color=#FFCC00>brindille</color> dans l'<color=#FFCC00>emplacement carburant</color>.,,,
<color=#FFCC00>부식액</color>을 <color=#FFCC00>재료 슬롯</color>으로 <color=#FFCC00>드래그</color>해 투입하세요.,<color=#FFCC00>Drag</color> <color=#FFCC00>Corrosive Fluid</color> into a <color=#FFCC00>material slot</color>.,将<color=#FFCC00>腐蚀液</color><color=#FFCC00>拖入</color><color=#FFCC00>材料槽</color>。,<color=#FFCC00>Glissez</color> du <color=#FFCC00>liquide corrosif</color> dans un <color=#FFCC00>emplacement de matériaux</color>.,,,
<color=#FFCC00>앰플 젤</color>을 <color=#FFCC00>재료 슬롯</color>으로 <color=#FFCC00>드래그</color>해 투입하세요.,<color=#FFCC00>Drag</color> the <color=#FFCC00>Ampoule Gel</color> into a <color=#FFCC00>material slot</color>.,将<color=#FFCC00>安瓿凝胶</color><color=#FFCC00>拖入</color><color=#FFCC00>材料槽</color>。,<color=#FFCC00>Glissez</color> le <color=#FFCC00>gel d'ampoule</color> dans un <color=#FFCC00>emplacement de matériaux</color>.,,,
<color=#FFCC00>거미 독액</color>을 <color=#FFCC00>재료 슬롯</color>으로 <color=#FFCC00>드래그</color>해 투입하세요.,<color=#FFCC00>Drag</color> <color=#FFCC00>Spider Venom</color> into a <color=#FFCC00>material slot</color>.,将<color=#FFCC00>蜘蛛毒液</color><color=#FFCC00>拖入</color><color=#FFCC00>材料槽</color>。,<color=#FFCC00>Glissez</color> du <color=#FFCC00>venin d'araignée</color> dans un <color=#FFCC00>emplacement de matériaux</color>.,,,
<color=#FFCC00>F</color>로 <color=#FFCC00>생체 배양기</color>를 여세요.,Press <color=#FFCC00>F</color> to open the <color=#FFCC00>Bio Incubator</color>.,按<color=#FFCC00>F</color>打开<color=#FFCC00>生物培养器</color>。,Appuyez sur <color=#FFCC00>F</color> pour ouvrir l'<color=#FFCC00>incubateur biologique</color>.,,,
